173,かなり,"fairly, rather",
174,国,country,[くに]
175,起こる,happen,[おこる]
176,秋,"autumn, fall",[あき]
177,送る,send,[おくる]
178,死ぬ,die,[しぬ]
179,気持ち,"feeling, sensation",[きもち]
180,乗る,"ride, take",[のる]
181,いる,"be present, stay",
182,木,"tree, wood",[き]
183,開ける,"open, unlock (doors, windows, etc.)",[あける]
184,閉める,"shut, close (doors, windows, etc.)",[しめる]
185,続く,"continue, follow",[つづく]
186,お医者さん,doctor (polite),[おいしゃさん]
187,円,Japanese yen,[えん]
188,ここ,here,
189,待つ,"wait, wait for",[まつ]
190,低い,"low, short",[ひくい]
191,もらう,"receive, get (something from someone)",
192,食べる,eat,[たべる]
193,兄,(one's own) older brother,[あに]
194,名前,name,[なまえ]
195,夫,husband,[おっと]
196,一,one,[いち]
197,結婚,marriage,[けっこん]
198,親,parent,[おや]
199,話す,"speak, talk",[はなす]
200,少し,"a bit, a little while",[すこし]
201,閉じる,"shut, close (books, eyes, etc.)",[とじる]
202,時,"time, moment",[とき]
203,米,rice (grain),[こめ]
204,切る,cut,[きる]
205,楽しい,"fun, enjoyable",[たのしい]
206,服,clothes (colloquial),[ふく]
207,後ろ,"back, behind",[うしろ]
208,嬉しい,"happy, glad",[うれしい]
209,腰,"waist, lower back",[こし]
210,日曜日,Sunday,[にちようび]
211,昼,"daytime, midday",[ひる]
212,お母さん,"mother, mom (colloquial)",[おかあさん]
213,大学生,university student,[だいがくせい]
214,終わり,"end, finish",[おわり]
215,背,"height, stature",[せ]
216,手伝う,"help, assist",[てつだう]
217,鼻,nose,[はな]
218,起きる,"occur, happen",[おきる]
219,載せる,"place, put on",[のせる]
220,悲しい,sad,[かなしい]
221,しゃべる,"chat, talk",
222,近く,"in the near future, before long",[ちかく]
223,甘い,sweet,[あまい]
224,テーブル,table,
225,食べ物,food (colloquial),[たべもの]
226,始まる,begin,[はじまる]
227,ゲーム,game (loan word),
228,十,ten,[じゅう]
229,天気,weather,[てんき]
230,暑い,hot (of weather),[あつい]
231,太い,"thick, fat",[ふとい]
232,晩,"evening, night (from sunset to bedtime)",[ばん]
233,土曜日,Saturday,[どようび]
234,痛い,"sore, painful",[いたい]
235,お父さん,"father, dad (colloquial)",[おとうさん]
236,多分,"probably, perhaps",[たぶん]
237,時計,"clock, watch",[とけい]
238,泊まる,stay overnight,[とまる]
239,どうして,how come,
240,掛ける,"hang, put on",[かける]
241,曲がる,"make a turn, turn",[まがる]
