毒	Poison
昨	Previous
帰	Return
式	Ritual
列	Row
浅	Shallow
単	Simple
坂	Slope
春	Spring
寺	Temple
浴	Bathe
箱	Box
係	Connection
治	Cure
危	Dangerous
冒	Dare
留	Detain
弁	Dialect
証	Evidence
存	Exist
面	Face
遠	Far
園	Garden
門	Gates
府	Government
幸	Happiness
阪	Heights
急	Hurry
笑	Laugh
荷	Luggage
政	Politics
品	Product
守	Protect
辞	Quit
真	Reality
関	Related
険	Risky
典	Rule
専	Specialty
冗	Superfluous
取	Take
曜	Weekday
書	Write
是	Absolutely
結	Bind
底	Bottom
因	Cause
詳	Detailed
識	Discerning
劇	Drama
干	Dry
敗	Failure
渉	Ford
果	Fruit
官	Government
署	Government Office
察	Guess
堂	Hall
幻	Illusion
非	Injustice
愛	Love
薬	Medicine
覚	Memorize
鼻	Nose
無	Nothing
常	Normal
原	Original
栄	Prosper
喜	Rejoice
恋	Romance
悲	Sad
塩	Salt
席	Seat
側	Side
兵	Soldier
説	Theory
細	Thin
梅	Ume
虚	Void
警	Warn
告	Announce
達	Attain
焼	Bake
借	Borrow
弓	Bow
脳	Brain
飴	Candy
胸	Chest
喫	Consume
等	Equal
枚	Flat Objects Counter
忘	Forget
訓	Instruction
種	Kind
報	News
句	Paragraph
許	Permit
可	Possible
祈	Pray
僧	Priest
禁	Prohibit
静	Quiet
座	Sit
煙	Smoke
汽	Steam
叩	Strike
喉	Throat
類	Type
洗	Wash
禅	Zen
得	Acquire
加	Add
冊	Book Counter
履	Boots
忙	Busy
閥	Clique
布	Cloth
比	Compare
歴	Continuation
続	Continue
減	Decrease
易	Easy
絡	Entangle
笛	Flute
容	Form
団	Group
史	History
昆	Insect
徒	Junior
宙	Midair
混	Mix
善	Morally Good
順	Order
宇	Outer Space
詞	Part Of Speech
改	Renew
乱	Riot
節	Season
連	Take Along
舌	Tongue
暴	Violence
財	Wealth
若	Young
責	Blame
条	Clause
済	Come To An End
委	Committee
省	Conserve
制	Control
批	Criticism
断	Cut Off
任	Duty
素	Element
敵	Enemy
羨	Envy
設	Establish
評	Evaluate
検	Examine
岡	Hill
増	Increase
査	Inspect
判	Judge
審	Judge
件	Matter
際	Occasion
企	Plan
挙	Raise
認	Recognize
資	Resources
義	Righteousness
権	Rights
派	Sect
務	Task
税	Tax
解	Untie
総	Whole
援	Aid
態	Appearance
誕	Birth
状	Condition
賀	Congratulations
各	Each
費	Expense
姿	Figure
勢	Force
諦	Give Up
示	Indicate
寝	Lie Down
営	Manage
坊	Monk
罰	Penalty
策	Plan
案	Plan
提	Present
置	Put
域	Region
応	Respond
宮	Shinto Shrine
袖	Sleeve
吸	Suck
過	Surpass
領	Territory
脱	Undress
統	Unite
価	Value
値	Value
副	Vice
観	View
藤	Wisteria
呼	Call
崎	Cape
施	Carry Out
城	Castle
護	Defend
鬼	Demon
割	Divide
職	Employment
秀	Excel
俳	Haiku
停	Halt
宅	House
裁	Judge
律	Law
導	Lead
革	Leather
贅	Luxury
乳	Milk
収	Obtain
演	Perform
現	Present Time
備	Provide
則	Rule
規	Standard
準	Standard
張	Stretch
優	Superior
沢	Swamp
師	Teacher
幹	Tree Trunk
看	Watch Over
庁	Agency
額	Amount
腕	Arm
境	Boundary
燃	Burn
担	Carry
祝	Celebrate
届	Deliver
違	Different
差	Distinction
象	Elephant
展	Expand
層	Layer
視	Look At
環	Loop
製	Manufacture
述	Mention
武	Military
型	Model
狭	Narrow
管	Pipe
載	Publish
質	Quality
量	Quantity
販	Sell
供	Servant
肩	Shoulder
株	Stocks
触	Touch
輸	Transport
腰	Waist
慣	Accustomed
居	Alive
逮	Apprehend
票	Ballot
属	Belong
捉	Catch
捕	Catch
候	Climate
輩	Comrade
況	Condition
響	Echo
効	Effective
抜	Extract
鮮	Fresh
満	Full
与	Give
掛	Hang
隠	Hide
模	Imitation
含	Include
訟	Lawsuit
限	Limit
肥	Obese
豊	Plentiful
替	Replace
景	Scene
巻	Scroll
捜	Search
構	Set Up
影	Shadow
絞	Strangle
訴	Sue
